timestamp,message_type,user_id,nickname,content,user_level,giver_id,giver_nickname,gift_name,combo_count,receiver_id,receiver_nickname,like_count,like_total,member_count,follow_count,display_short,display_middle,display_long,room_total
2025-09-16T21:28:34.585118,gift,,,,,MS4wLjABAAAATgIC8DAo0o9L-zttCOgLC3q2xEpmLH7GAfhVqc1BCCA,爱江山更爱美人,粉丝团灯牌,1,,,,,,,,,,
2025-09-16T21:28:34.585213,gift,,,,,MS4wLjABAAAAXkOiDsHKuK-Xe6_FKOyxEE9xQqnDFLZQ9C2k77uHuvc,半吊子,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:34.586787,gift,,,,,MS4wLjABAAAA32v5w4Senzq-j_OIPrClIfquPve_0f38zeu2h_eZT2k,小欣欣👧🏻❣️,人气票,1,,,,,,,,,,
2025-09-16T21:28:34.586809,message,MS4wLjABAAAAJzPEQGABnkPI8U4p9mQDvRtgnSy_8LPHOf0aAYwCOfs,用户946571436093,可以,,,,,,,,,,,,,,,
2025-09-16T21:28:35.189269,enter,MS4wLjABAAAAP5yPeYsvCf-Pljh3WWZwS9bjdqaG-dow0Y7HHGGRTqM,ღ西 西ღ,,,,,,,,,,,378843,,,,,
2025-09-16T21:28:35.189326,enter,MS4wLjABAAAAKSB5RS6-UNwCU59VshIKirmz7AbTT-saMdSLSZyFXLrbrAtDI8nrsSXxq0VwZaEP,晨宇😎,,,,,,,,,,,378241,,,,,
2025-09-16T21:28:35.189355,enter,MS4wLjABAAAAx8S3X0mrdX3hv911NBSOKh31z7MiEYMsjmDTGC920u0,化作春雨走向你,,,,,,,,,,,375453,,,,,
2025-09-16T21:28:36.014322,gift,,,,,MS4wLjABAAAAehRjvKddfv-Mjh_-T3OT-KIVsRHAktEIbeMw-RJsKr7uoOEOkFaaysMEN-wLFAIt,港姐朱朱¹⁰¹⁷,小心心,508,,,,,,,,,,
2025-09-16T21:28:36.014368,gift,,,,,MS4wLjABAAAA-GdyEQ785reh3bz7h9pHG6rjc3yFF-6W-ADE054T0Wo,看世界鱼🐟鱼🐟🐟,小心心,5,,,,,,,,,,
2025-09-16T21:28:36.014389,gift,,,,,MS4wLjABAAAAiTI8mpwYw9jnCTPjNeAM83GfndygAC7JSyfTDW7Bujd84L4he90JNrSH_eIM_Bca,雷家有子取名弦歌,大啤酒,1,,,,,,,,,,
2025-09-16T21:28:36.014407,gift,,,,,MS4wLjABAAAAHYZ14xWINpqzPi6Wgt6Q8X6pOqDJZMEgk0hbmZmrZ3M,₁⁴₅₂ₒ᭄໊໊໊醉温柔꧔ꦿ₁ᵌ,小心心,1,,,,,,,,,,
